name,alias,iata,icao,country,active
Aerosafin,,,FIC,Mexico,N
Aerosan,,,OSN,Mexico,N
Aerosec,,,ERK,Chile,N
Aerosegovia,,,SGV,Nicaragua,N
Aeroserivios Del Bajio,,,RBJ,Mexico,N
Aeroservices Corporate,,,CJE,France,N
Aeroservicio Sipse,,,PSE,Mexico,N
Aeroservicios California Pacifico,,,PIF,Mexico,N
Aeroservicios Corporativos De San Luis,,,PSL,Mexico,N
Aeroservicios de La Costa,,,TAA,Mexico,N
Aeroservicios De Nuevo Leon,,,NUL,Mexico,N
Aeroservicios De San Luis,,,SUO,Mexico,N
Aeroservicios Dinamicos,,,DMI,Mexico,N
Aeroservicios Ecuatorianos,,,EAE,Ecuador,N
Aeroservicios Ejecutivos Corporativos,,,EJP,Mexico,N
Aeroservicios Ejecutivos Del Occidente,,,AEO,Mexico,N
Aeroservicios Ejecutivos Del Pacifico,,,SPO,Mexico,N
Aeroservicios Gama,,,GMS,Mexico,N
Aeroservicios Intergrados de Norte,,,INO,Mexico,N
Aeroservicios Jet,,,RJS,Mexico,N
Aeroservicios Monterrey,,,SVM,Mexico,N
Aerosiyusa,,,SIY,Mexico,N
Aerosmith Aviation,,,JPR,United States,N
Aerostar Airlines,,,UAR,Ukraine,N
AeroSucre,,,KRE,Colombia,N
Aerosud Aviation,,,SYT,South Africa,N
Aerosud Charter,,,MDX,South Africa,N
Aerosun International,,,ASI,AEROSUN,N
Aerosuper,,,SUP,Mexico,N
Aerosur,,5L,RSU,Bolivia,Y
Aerosvit Airlines,,VV,AEW,Ukraine,Y
AeroTACA,,,ATK,Colombia,N
Aerotal Aerolineas Territoriales de Colombia Ltda,,,ART,Colombia,N
Aerotaxi,,,ITE,Czech Republic,N
Aerotaxi del Cabo,,,CBO,Mexico,N
Aerotaxi Del Valle,,,AOX,Colombia,N
Aerotaxi Grupo Tampico,,,GTP,Mexico,N
Aerotaxi Mexicano,,,MXO,Mexico,N
Aerotaxi Villa Rica,,,VRI,Mexico,N
Aerotaxis Albatros,,,BTS,Mexico,N
Aerotaxis Alfe,,,TXF,Mexico,N
Aerotaxis Cimarron,,,IMN,Mexico,N
Aerotaxis de Aguascalientes,,,GUA,Mexico,N
Aerotaxis De La Bahia,,,BHC,Mexico,N
Aerotaxis del Noroeste,,,TXD,Mexico,N
Aerotaxis Dosmil,,,DML,Mexico,N
Aerotaxis Guamuchil,,,GMM,Mexico,N
Aerotaxis Latinoamericanos,,,LTI,Mexico,N
Aerotaxis Metropolitanos,,,MTB,Mexico,N
Aerotec,,,AEP,Spain,N
Aerotours Dominicana,,,ATD,Dominican Republic,N
Aerotrans,,,CDU,Russia,N
Aerotrans Airline,,,ATG,Kazakhstan,N
Aerotrans Airlines,,,AED,Russia,N
Aerotranscolombina de Carga,,,TCO,Colombia,N
Aerotransporte de Carga Union,,,TNO,Mexico,N
Aerotransporte Petrolero,,,PET,Colombia,N
Aerotransportes Corporativos,,,CRP,Mexico,N
Aerotransportes Huitzilin,,,HUT,Mexico,N
Aerotransportes Internacionales De Torreon,,,RRE,Mexico,N
Aerotransportes Privados,,,PRI,Mexico,N
Aerotransportes Rafilher,,,RFD,Mexico,N
Aerotrebol,,,TBL,Mexico,N
Aerotropical,,,TOC,Mexico,N
Aerotucan,,,RTU,Mexico,N
Aerotur-Air,,,RAI,Kazakhstan,N
Aeroturquesa,,,TQS,Mexico,N
Aerovallarta,,,ALL,Mexico,N
Aerovaradero,,,AVY,AEROVARADERO,N
Aerovega,,,VEG,Mexico,N
Aeroventas,,,AEV,Mexico,N
Aerovias Bueno,,,ABU,Colombia,N
Aerovias Caribe,,,CBE,Mexico,N
Aerovias Castillo,,,CLL,Mexico,N
Aerovias DAP,,,DAP,Chile,N
Aerovias De Lagos,,,LAG,Mexico,N
Aerovias del Golfo,,,GFO,Mexico,N
Aerovias Ejecutivas,,,OVI,Mexico,N
Aerovias Montes Azules,,,MZL,Mexico,N
Aerovic,,,OVC,Ecuador,N
Aerovilla,,,VVG,Colombia,N
Aerovis Airlines,,,VIZ,Ukraine,N
Aerovista Airlines,,,AAP,United Arab Emirates,N
Aerovista Gulf Express,,,VGF,United Arab Emirates,N
Aerovitro,,,VRO,Mexico,N
Aerovuelox,,,VUO,Mexico,N
Aeroway,,,AWY,AEROWEE,N
AeroWorld,Sovet Air,W4,WER,Russia,Y
Aeroxtra,,,RXT,Mexico,N
Aeroynamics Malaga,,,DNC,Spain,N
Aex Air,,,DST,United States,N
AF-Air International,,,FAN,Angola,N
Afit,,,KIE,Germany,N
Afra Airlines,,,UAG,Ghana,N
Afric'air Express,,,AAX,Ivory Coast,N
Africa Air Links,,,AFK,Sierra Leone,N
Africa Airlines,,,GIZ,Guinea,N
Africa Chartered Services,,,AFY,Nigeria,N
Africa Freight Services,,,AFZ,Zambia,N
Africa One,,,AZL,Zambia,N
Africa West,,FK,WTA,Togo,Y
Africair Service,,,FFB,Senegal,N
African Airlines,,,FDA,Mali,N
African Airlines International Limited,,,AIK,Kenya,N
African Business and Transportations,,,ABB,Democratic Republic of the Congo,N
African Company Airlines,,,FPY,Democratic Republic of the Congo,N
African Express Airways,,,AXK,Kenya,N
African International Airways,,,AIN,Swaziland,N
African International Transport,,,GIL,Guinea,N
African Medical and Research Foundation,,,FDS,Kenya,N
African Safari Airways,,QS,QSC,Kenya,N
African Star Airways (PTY) Ltd.,,,ASG,South Africa,N
African Transport Trading and Investment Company,,ML,,Sudan,N
African West Air,,,AFC,Senegal,N
Africaone,,,AFI,Uganda,N
Afrijet Airlines,,,FRJ,Nigeria,N
Afrika Aviation Handlers,,,FRK,Kenya,N
Afrinat International Airlines,,Q9,AFU,Gambia,N
Afriqiyah Airways,,8U,AAW,Libya,Y
Afrique CArgo Service Senegal,,,NFS,Senegal,N
Afrique Chart'air,,,FRQ,Cameroon,N
Afrique Regional Airways,,,AFW,Ivory Coast,N
